CLASS,CX,CY,W,H,IMAGE
1,114,111,189,166,0
1,112,119,183,107,1
1,101,100,138,122,2
1,110,103,197,156,3
1,110,102,168,105,4
1,99,123,178,189,5
1,109,103,196,192,6
1,112,111,171,166,7
1,99,110,167,142,9
1,104,122,81,73,10
1,135,111,173,219,11
1,109,100,174,130,12
1,112,101,210,181,14
1,115,113,171,178,15
1,110,111,221,206,16
1,113,102,187,135,17
1,109,103,188,160,19
1,118,111,196,209,21
1,107,102,61,73,22
1,113,114,206,105,24
1,115,115,187,152,26
1,102,92,127,126,27
1,119,121,127,109,28
1,109,112,172,126,30
1,85,113,65,62,31
1,105,111,211,181,33
1,109,113,184,201,34
1,113,120,191,175,35
1,126,92,166,82,36
1,74,115,116,113,37
1,110,100,198,156,38
1,109,123,180,182,39
1,111,103,177,174,40
1,99,123,138,134,41
1,116,120,174,140,42
1,111,110,172,180,43
1,112,114,195,146,45
1,111,110,208,174,46
1,115,132,166,121,47
1,100,112,174,182,50
1,126,127,145,142,52
1,108,125,205,167,53
1,135,132,115,112,54
1,101,113,177,162,55
1,98,131,166,122,57
1,94,102,111,94,58
1,111,111,216,194,60
1,91,113,71,70,61
1,15,111,30,29,62
1,109,125,191,158,64
1,90,115,139,136,66
1,111,124,178,167,68
1,112,111,198,186,72
1,114,121,206,130,74
1,113,111,178,149,75
1,126,92,166,82,77
1,149,107,143,157,79
1,102,123,149,140,80
1,110,108,205,152,81
1,110,110,212,217,82
1,112,121,193,181,85
1,170,109,106,108,86
1,111,132,223,168,88
1,79,110,151,144,89
1,112,111,219,128,90
1,110,113,199,148,91
1,109,111,211,199,92
1,162,87,121,164,93
1,107,135,204,119,94
1,111,119,222,206,95
1,110,120,147,115,97
1,125,106,167,109,102
1,135,112,118,120,103
1,99,114,177,170,104
1,108,103,214,204,106
1,110,111,221,163,107
1,119,110,197,208,108
1,114,111,181,149,110
1,109,108,188,169,112
1,112,112,207,167,113
1,74,135,146,176,114
1,51,178,94,87,116
1,110,112,184,208,117
1,95,109,113,136,119
1,96,112,158,141,122
1,100,154,126,123,123
1,108,92,173,133,125
1,108,125,189,114,126
1,109,101,204,176,127
1,108,120,164,187,129
1,92,134,154,144,130
1,113,120,171,175,131
1,115,119,180,194,132
1,107,115,185,141,133
1,110,103,216,207,136
1,108,112,213,215,137
1,96,121,172,155,138
1,142,89,125,89,139
1,115,101,211,189,140
1,111,125,209,153,141
1,92,98,164,154,142
1,92,127,62,58,143
1,47,173,94,93,144
1,124,125,182,170,145
1,162,137,111,60,146
1,118,110,181,179,147
1,100,122,164,117,148
1,99,124,187,175,149
1,113,135,219,162,151
1,109,131,170,149,152
1,112,112,209,133,153
1,88,113,143,162,154
1,97,142,159,101,155
1,112,111,199,193,156
1,120,107,91,65,158
1,113,112,182,168,159
1,107,111,208,173,160
1,99,124,136,126,161
1,103,127,94,115,164
1,111,113,184,124,165
1,108,126,173,113,166
1,104,121,89,121,167
1,110,103,172,101,169
1,116,111,137,99,170
1,96,104,94,80,171
1,110,121,219,144,172
1,111,122,189,166,175
1,112,113,197,160,176
1,109,114,204,183,180
1,108,122,207,183,181
1,92,116,146,127,182
1,154,116,138,116,183
1,99,115,145,128,186
1,50,100,98,144,187
1,112,121,149,84,189
1,115,111,196,139,190
1,112,117,210,212,191
1,87,115,132,155,193
1,112,144,217,158,194
1,112,113,170,154,195
1,102,108,163,126,197
1,67,155,87,97,199
1,109,110,159,117,200
1,110,103,174,74,201
1,92,136,147,65,202
1,123,127,123,116,204
1,111,114,205,148,206
1,115,121,172,154,213
1,103,109,175,128,214
1,110,87,169,103,215
1,97,108,171,139,216
1,110,119,194,208,217
1,121,111,154,107,222
1,124,114,156,161,223
1,110,123,212,196,224
1,126,184,107,77,225
1,112,103,186,134,227
1,108,133,176,88,228
1,114,122,185,105,232
1,103,126,171,159,234
1,113,102,172,187,235
